filename,granularity,distribution,frequency,energy_consumption,id_number
locustfile_burst_med_0.4_120_40_10s_1_requests.csv,coarse,burst,med,3557.0,1
locustfile_burst_med_0.4_120_40_10s_2_requests.csv,coarse,burst,med,3578.2,2
locustfile_burst_med_0.4_120_40_10s_3_requests.csv,coarse,burst,med,3565.7999999999997,3
locustfile_burst_med_0.4_120_40_10s_4_requests.csv,coarse,burst,med,3519.9999999999995,4
locustfile_burst_med_0.4_120_40_10s_5_requests.csv,coarse,burst,med,3511.7000000000003,5
locustfile_burst_med_0.4_120_40_10s_6_requests.csv,coarse,burst,med,3515.5,6
locustfile_burst_med_0.4_120_40_10s_7_requests.csv,coarse,burst,med,3569.6000000000004,7
locustfile_burst_med_0.4_120_40_10s_8_requests.csv,coarse,burst,med,3490.0,8
locustfile_burst_med_0.4_120_40_10s_9_requests.csv,coarse,burst,med,3520.2999999999997,9
locustfile_burst_med_0.4_120_40_10s_10_requests.csv,coarse,burst,med,3467.9999999999995,10
locustfile_burst_low_5_120_40_10s_1_requests.csv,coarse,burst,low,3459.3,1
locustfile_burst_low_5_120_40_10s_2_requests.csv,coarse,burst,low,3530.0,2
locustfile_burst_low_5_120_40_10s_3_requests.csv,coarse,burst,low,3479.6000000000004,3
locustfile_burst_low_5_120_40_10s_4_requests.csv,coarse,burst,low,3449.2000000000007,4
locustfile_burst_low_5_120_40_10s_5_requests.csv,coarse,burst,low,3527.7999999999997,5
locustfile_burst_low_5_120_40_10s_6_requests.csv,coarse,burst,low,3493.7,6
locustfile_burst_low_5_120_40_10s_7_requests.csv,coarse,burst,low,3539.1000000000004,7
locustfile_burst_low_5_120_40_10s_8_requests.csv,coarse,burst,low,3512.4,8
locustfile_burst_low_5_120_40_10s_9_requests.csv,coarse,burst,low,3494.6000000000004,9
locustfile_burst_low_5_120_40_10s_10_requests.csv,coarse,burst,low,3472.4999999999995,10
locustfile_even_high_0.5_120_40_120s_1_requests.csv,coarse,even,high,4178.400000000001,1
locustfile_even_high_0.5_120_40_120s_2_requests.csv,coarse,even,high,4045.7999999999993,2
locustfile_even_high_0.5_120_40_120s_3_requests.csv,coarse,even,high,3871.8,3
locustfile_even_high_0.5_120_40_120s_4_requests.csv,coarse,even,high,3924.6000000000004,4
locustfile_even_high_0.5_120_40_120s_5_requests.csv,coarse,even,high,3821.399999999999,5
locustfile_even_high_0.5_120_40_120s_6_requests.csv,coarse,even,high,3788.1,6
locustfile_even_high_0.5_120_40_120s_7_requests.csv,coarse,even,high,3846.7999999999993,7
locustfile_even_high_0.5_120_40_120s_8_requests.csv,coarse,even,high,3848.7999999999993,8
locustfile_even_high_0.5_120_40_120s_9_requests.csv,coarse,even,high,3752.9999999999995,9
locustfile_even_high_0.5_120_40_120s_10_requests.csv,coarse,even,high,3817.5,10
locustfile_even_med_6_120_40_120s_1_requests.csv,coarse,even,med,3523.4999999999995,1
locustfile_even_med_6_120_40_120s_2_requests.csv,coarse,even,med,3569.2000000000007,2
locustfile_even_med_6_120_40_120s_3_requests.csv,coarse,even,med,3464.5,3
locustfile_even_med_6_120_40_120s_4_requests.csv,coarse,even,med,3482.2999999999997,4
locustfile_even_med_6_120_40_120s_5_requests.csv,coarse,even,med,3498.7,5
locustfile_even_med_6_120_40_120s_6_requests.csv,coarse,even,med,3550.4999999999995,6
locustfile_even_med_6_120_40_120s_7_requests.csv,coarse,even,med,3564.3,7
locustfile_even_med_6_120_40_120s_8_requests.csv,coarse,even,med,3557.2999999999997,8
