Experiment_ID,Average_Latency,Granularity,Distribution,Request_Amount,Iteration
fine_even_high_7,22.914891019125015,fine,even,high,7
fine_even_high_8,19.909031763249967,fine,even,high,8
fine_even_high_9,21.227920597124967,fine,even,high,9
fine_even_low_1,61.14112448749948,fine,even,low,1
fine_even_low_10,31.597981237500072,fine,even,low,10
fine_even_low_2,31.95419378750004,fine,even,low,2
fine_even_low_3,20.069655224999643,fine,even,low,3
fine_even_low_4,25.28710623749966,fine,even,low,4
fine_even_low_6,52.22135526249949,fine,even,low,6
fine_even_low_7,21.355599550000164,fine,even,low,7
fine_even_low_8,40.70498179999971,fine,even,low,8
fine_even_low_9,28.2463021374998,fine,even,low,9
fine_even_med_1,32.483634676249956,fine,even,med,1
fine_even_med_10,35.81102568250004,fine,even,med,10
fine_even_med_2,31.531565446250003,fine,even,med,2
fine_even_med_3,31.892821831250124,fine,even,med,3
fine_even_med_4,30.16544738749989,fine,even,med,4
fine_even_med_5,31.85184440625003,fine,even,med,5
fine_even_med_6,26.781549092499976,fine,even,med,6
fine_even_med_7,25.735464987500055,fine,even,med,7
fine_even_med_8,29.00885381999991,fine,even,med,8
fine_even_med_9,31.94483913499973,fine,even,med,9
med_burst_high_1,7.885563506250001,med,burst,high,1
med_burst_high_10,8.513915083625003,med,burst,high,10
med_burst_high_2,8.648907998874998,med,burst,high,2
med_burst_high_3,19.96775748656127,med,burst,high,3
med_burst_high_4,9.84902162025,med,burst,high,4
med_burst_high_5,12.022307098625,med,burst,high,5
med_burst_high_6,11.933755118999997,med,burst,high,6
med_burst_high_7,13.087167715871818,med,burst,high,7
med_burst_high_8,9.16654585525,med,burst,high,8
med_burst_high_9,8.507480253250002,med,burst,high,9
med_burst_low_1,14.625480724999997,med,burst,low,1
med_burst_low_10,15.138329637500002,med,burst,low,10
med_burst_low_2,14.963164024999998,med,burst,low,2
med_burst_low_3,14.735834924999997,med,burst,low,3
med_burst_low_4,15.277396862499998,med,burst,low,4
med_burst_low_5,15.912352575000003,med,burst,low,5
med_burst_low_6,15.565208362500005,med,burst,low,6
med_burst_low_7,14.962155737500002,med,burst,low,7
med_burst_low_8,15.288078087500002,med,burst,low,8
med_burst_low_9,14.365991650000003,med,burst,low,9
med_burst_med_1,9.720294945000004,med,burst,med,1
med_burst_med_10,10.073786985000005,med,burst,med,10
med_burst_med_2,10.092499337499998,med,burst,med,2
med_burst_med_3,10.051106888749999,med,burst,med,3
med_burst_med_4,9.6605414425,med,burst,med,4
med_burst_med_5,9.489131891250002,med,burst,med,5
med_burst_med_6,9.517069567499997,med,burst,med,6
med_burst_med_7,10.5249226575,med,burst,med,7
med_burst_med_8,9.766679275000003,med,burst,med,8
med_burst_med_9,9.1385891325,med,burst,med,9
med_even_high_1,7.907060745749989,med,even,high,1
med_even_high_10,8.319266543624998,med,even,high,10
med_even_high_2,8.218040176749998,med,even,high,2
med_even_high_3,8.447252907124994,med,even,high,3
med_even_high_4,8.378664010249999,med,even,high,4
med_even_high_5,9.866623606125001,med,even,high,5
med_even_high_6,9.071030849000001,med,even,high,6
