filename,granularity,distribution,frequency,energy_consumption,id_number
locustfile_burst_high_0.01_400_40_10s_10_requests.csv,coarse,burst,high,3336.2,10
locustfile_burst_high_0.1_400_40_10s_1_requests.csv,coarse,burst,med,3303.1,1
locustfile_burst_high_0.1_400_40_10s_2_requests.csv,coarse,burst,med,3275.1,2
locustfile_burst_high_0.1_400_40_10s_3_requests.csv,coarse,burst,med,3292.5,3
locustfile_burst_high_0.1_400_40_10s_4_requests.csv,coarse,burst,med,3309.7,4
locustfile_burst_high_0.1_400_40_10s_5_requests.csv,coarse,burst,med,3249.2000000000003,5
locustfile_burst_high_0.1_400_40_10s_6_requests.csv,coarse,burst,med,3282.8999999999996,6
locustfile_burst_high_0.1_400_40_10s_7_requests.csv,coarse,burst,med,3248.1,7
locustfile_burst_high_0.1_400_40_10s_8_requests.csv,coarse,burst,med,3281.7000000000003,8
locustfile_burst_high_0.1_400_40_10s_9_requests.csv,coarse,burst,med,3297.3000000000006,9
locustfile_burst_high_0.1_400_40_10s_10_requests.csv,coarse,burst,med,3261.9,10
locustfile_burst_high_1_400_40_10s_1_requests.csv,coarse,burst,low,3204.4,1
locustfile_burst_high_1_400_40_10s_2_requests.csv,coarse,burst,low,3195.7999999999997,2
locustfile_burst_high_1_400_40_10s_3_requests.csv,coarse,burst,low,3217.9,3
locustfile_burst_high_1_400_40_10s_4_requests.csv,coarse,burst,low,3210.6,4
locustfile_burst_high_1_400_40_10s_5_requests.csv,coarse,burst,low,3297.3000000000006,5
locustfile_burst_high_1_400_40_10s_6_requests.csv,coarse,burst,low,3246.399999999999,6
locustfile_burst_high_1_400_40_10s_7_requests.csv,coarse,burst,low,3248.7,7
locustfile_burst_high_1_400_40_10s_8_requests.csv,coarse,burst,low,3222.5999999999995,8
locustfile_burst_high_1_400_40_10s_9_requests.csv,coarse,burst,low,3212.9,9
locustfile_burst_high_1_400_40_10s_10_requests.csv,coarse,burst,low,3231.1000000000004,10
locustfile_even_high_0.2_400_40_120s_1_requests.csv,coarse,even,high,3399.2999999999993,1
locustfile_even_high_0.2_400_40_120s_2_requests.csv,coarse,even,high,3402.4,2
locustfile_even_high_0.2_400_40_120s_3_requests.csv,coarse,even,high,3399.7,3
locustfile_even_high_0.2_400_40_120s_4_requests.csv,coarse,even,high,3426.2,4
locustfile_even_high_0.2_400_40_120s_5_requests.csv,coarse,even,high,3360.6000000000004,5
locustfile_even_high_0.2_400_40_120s_6_requests.csv,coarse,even,high,3332.6,6
locustfile_even_high_0.2_400_40_120s_7_requests.csv,coarse,even,high,3366.1000000000004,7
locustfile_even_high_0.2_400_40_120s_8_requests.csv,coarse,even,high,3351.5000000000005,8
locustfile_even_high_0.2_400_40_120s_9_requests.csv,coarse,even,high,3353.6999999999994,9
locustfile_even_high_0.2_400_40_120s_10_requests.csv,coarse,even,high,3354.8,10
locustfile_even_med_2_400_40_120s_1_requests.csv,coarse,even,med,3338.7999999999993,1
locustfile_even_med_2_400_40_120s_2_requests.csv,coarse,even,med,3350.1,2
locustfile_even_med_2_400_40_120s_3_requests.csv,coarse,even,med,3354.4,3
locustfile_even_med_2_400_40_120s_4_requests.csv,coarse,even,med,3295.2,4
locustfile_even_med_2_400_40_120s_5_requests.csv,coarse,even,med,3312.5,5
locustfile_even_med_2_400_40_120s_6_requests.csv,coarse,even,med,3287.7,6
locustfile_even_med_2_400_40_120s_7_requests.csv,coarse,even,med,3320.5999999999995,7
locustfile_even_med_2_400_40_120s_8_requests.csv,coarse,even,med,3301.2,8
